date,cpi,mpi,ppi
01-2013,102.03053,98.0788,98.3628
02-2013,103.21978,98.1211,98.3746
03-2013,102.06959,97.9583,98.081
04-2013,102.38609,97.304,97.3825
05-2013,102.09815,97.0082,97.1342
06-2013,102.66839,97.3508,97.3035
07-2013,102.6741,97.7724,97.7288
08-2013,102.56662,98.3806,98.375
09-2013,103.05186,98.4275,98.6561
10-2013,103.20582,98.3639,98.4929
11-2013,103.01802,98.5389,98.5758
12-2013,102.49872,98.6403,98.6443
01-2014,102.48608,98.3338,98.3606
02-2014,101.95111,97.8748,98
03-2014,102.38484,97.4583,97.6981
04-2014,101.80138,97.6936,97.9958
05-2014,102.4773,98.1774,98.5536
06-2014,102.33607,98.5177,98.8908
07-2014,102.28515,98.8824,99.1312
08-2014,101.99087,98.6265,98.7962
09-2014,101.6275,98.1129,98.2004
10-2014,101.60115,97.4681,97.7572
11-2014,101.43933,96.8388,97.3072
12-2014,101.50557,96.0073,96.6848
01-2015,100.76381,94.8433,95.6798
02-2015,101.43112,94.148,95.2024
03-2015,101.37578,94.3248,95.4397
04-2015,101.50906,94.462,95.4275
05-2015,101.23077,94.5225,95.393
06-2015,101.3909,94.4213,95.1865
07-2015,101.64734,93.9346,94.6308
08-2015,101.95537,93.3975,94.0773
09-2015,101.59561,93.1617,94.055
10-2015,101.26745,93.1,94.1
11-2015,101.48558,93.1,94.1
12-2015,101.63698,93.2,94.1
01-2016,101.8,93.7,94.7
02-2016,102.3,94.2,95.1
03-2016,102.30139,94.7843,95.6793
04-2016,102.32787,95.6138,96.6187
05-2016,102.039,96.2,97.2
06-2016,101.8795,96.6,97.4
07-2016,101.76511,97.4,98.3
08-2016,101.33977,98.3,99.2
09-2016,101.92023,99.4,100.1
10-2016,102.09595,100.9,101.2
11-2016,102.25226,103.5,103.3
12-2016,102.07654,106.3,105.5
01-2017,102.5,108.4,106.9
02-2017,100.8,109.9,107.8
03-2017,100.9,110,107.6
04-2017,101.2,109,106.4
05-2017,101.5,108,105.5
06-2017,101.5,107.3,105.5
07-2017,101.4,107,105.5
08-2017,101.8,107.7,106.3
09-2017,101.6,108.5,106.9
10-2017,101.9,108.4,106.9
11-2017,101.7,107.1,105.8
12-2017,101.8,105.9,104.9
01-2018,101.5,105.2,104.3
02-2018,102.9,104.4,103.7
03-2018,102.1,103.7,103.1
04-2018,101.8,103.7,103.4
05-2018,101.8,104.3,104.1
06-2018,101.9,105.1,104.7
07-2018,102.1,105.2,104.6
08-2018,102.3,104.8,104.1
09-2018,102.5,104.2,103.6
10-2018,102.5,104,103.3
11-2018,102.2,103.3,102.7
12-2018,101.9,101.6,100.9
01-2019,101.7,100.2,100.1
02-2019,101.5,99.9,100.1
03-2019,102.3,100.2,100.4
04-2019,102.5,100.4,100.9
05-2019,102.7,100.2,100.6
06-2019,102.7,99.7,100
07-2019,102.8,99.4,99.7
08-2019,102.8,98.7,99.2
09-2019,103,98.3,98.8
10-2019,103.8,97.9,98.4
11-2019,104.5,97.8,98.6
12-2019,104.5,98.7,99.5
01-2020,105.4,99.7,100.1
02-2020,105.2,99.5,99.6
03-2020,104.3,98.4,98.5
04-2020,103.3,96.2,96.9
05-2020,102.4,95,96.3
06-2020,102.5,95.6,97
07-2020,102.7,96.7,97.6
08-2020,102.4,97.5,98
09-2020,101.7,97.7,97.9
10-2020,100.5,97.6,97.9
11-2020,99.5,98.4,98.5
12-2020,100.2,100,99.6
01-2021,99.7,100.9,100.3
02-2021,99.8,102.4,101.7
03-2021,100.4,105.2,104.4
04-2021,100.9,109,106.8
05-2021,101.3,112.5,109
06-2021,101.1,113.1,108.8
07-2021,101,113.1,109
08-2021,100.8,113.6,109.5
09-2021,100.7,114.3,110.7
10-2021,101.5,117.1,113.5
11-2021,102.3,117.4,112.9
12-2021,101.5,114.2,110.3
01-2022,100.9,112.1,109.1
02-2022,100.9,111.2,108.8
03-2022,101.5,110.7,108.3
04-2022,102.1,110.8,108
05-2022,102.1,109.1,106.4
06-2022,102.5,108.5,106.1
07-2022,102.7,106.5,104.2
08-2022,102.5,104.2,102.3
09-2022,102.8,102.6,100.9
